dataset_name,item_id,source,relative_path,url,local_glb_path,exists_local,status,human_decision,reject_reason,subclass,selected_input_view,alternative_input_view,primary_eval_views,front_quality_score,texture_quality_score,leakage_risk,notes,contact_sheet_page,contact_sheet_path,face_count,mesh_count,material_count,texture_image_count,bbox_extents,group_key
datav2_frame_panels,B073P1WWTL,ABO,L/B073P1WWTL.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/L/B073P1WWTL.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P1WWTL.glb,true,found,accept,,framed_wall_art,005,004,004;005,,,,,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,2196,1,3,3,0.838582 x 0.072984 x 0.967742,"bbox=0.8,0.1,1.0|face_bin=0|aspect=1.2"
datav2_frame_panels,B073P1GGSL,ABO,L/B073P1GGSL.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/L/B073P1GGSL.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P1GGSL.glb,true,found,accept,,framed_wall_art,005,004,004;005,,,,,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,236,1,4,6,0.378364 x 0.032710 x 0.330051,"bbox=0.4,0.0,0.3|face_bin=0|aspect=1.1"
datav2_frame_panels,B075YLQTNP,ABO,P/B075YLQTNP.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/P/B075YLQTNP.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/P/B075YLQTNP.glb,true,found,accept,,framed_wall_art,005,004,004;005,,,,,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,756,1,5,9,0.329013 x 0.023742 x 0.403955,"bbox=0.3,0.0,0.4|face_bin=0|aspect=1.2"
datav2_frame_panels,B073P1LM8D,ABO,D/B073P1LM8D.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/D/B073P1LM8D.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/D/B073P1LM8D.glb,true,found,accept,,framed_wall_art,005,004,004;005,,,,,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,92,1,6,12,0.460292 x 0.028392 x 0.556316,"bbox=0.5,0.0,0.6|face_bin=0|aspect=1.2"
datav2_frame_panels,B075YL2S9V,ABO,V/B075YL2S9V.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B075YL2S9V.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B075YL2S9V.glb,true,found,accept,,framed_wall_art,005,004,004;005,,,,,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,1034,1,7,15,0.380944 x 0.027758 x 0.313473,"bbox=0.4,0.0,0.3|face_bin=0|aspect=1.2"
datav2_frame_panels,B079LNFJQX,ABO,X/B079LNFJQX.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/X/B079LNFJQX.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/X/B079LNFJQX.glb,true,found,accept,,framed_wall_art,005,004,004;005,,,,,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,84928,1,3,3,0.157418 x 0.028339 x 0.207635,"bbox=0.2,0.0,0.2|face_bin=16|aspect=1.3"
datav2_frame_panels,B079L8TCVJ,ABO,J/B079L8TCVJ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/J/B079L8TCVJ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B079L8TCVJ.glb,true,found,accept,,framed_wall_art,005,004,004;005,,,,,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,84928,1,4,6,0.157418 x 0.028339 x 0.207635,"bbox=0.2,0.0,0.2|face_bin=16|aspect=1.3"
datav2_frame_panels,B075YNL7GJ,ABO,J/B075YNL7GJ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/J/B075YNL7GJ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B075YNL7GJ.glb,true,found,accept,,framed_wall_art,005,004,004;005,,,,,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,278,1,5,9,0.558188 x 0.033490 x 0.457188,"bbox=0.6,0.0,0.5|face_bin=0|aspect=1.2"
datav2_frame_panels,B075YLMBYB,ABO,B/B075YLMBYB.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/B/B075YLMBYB.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/B/B075YLMBYB.glb,true,found,accept,,framed_wall_art,005,004,004;005,,,,,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,2266,1,6,12,0.559504 x 0.034645 x 0.457776,"bbox=0.6,0.0,0.5|face_bin=0|aspect=1.2"
datav2_frame_panels,B075YL2S8V,ABO,V/B075YL2S8V.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B075YL2S8V.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B075YL2S8V.glb,true,found,accept,,framed_wall_art,005,004,004;005,,,,,contact_sheet_001.jpg,/vol/bitbucket/ct1022/hy3dpaint_finetune/outputs/phase2l/manual_abo_visual_inspection/contact_sheets/contact_sheet_001.jpg,540,1,7,15,0.381002 x 0.025004 x 0.330198,"bbox=0.4,0.0,0.3|face_bin=0|aspect=1.2"
