item_id,relative_path,url,local_glb_path,exists_local,status,human_decision,reject_reason,subclass,selected_input_view,alternative_input_view,primary_eval_views,front_quality_score,texture_quality_score,leakage_risk,notes
B073P1WWTL,L/B073P1WWTL.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/L/B073P1WWTL.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P1WWTL.glb,true,found,,,,,,,,,,
B073P1GGSL,L/B073P1GGSL.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/L/B073P1GGSL.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/L/B073P1GGSL.glb,true,found,,,,,,,,,,
B075YLQTNP,P/B075YLQTNP.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/P/B075YLQTNP.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/P/B075YLQTNP.glb,true,found,,,,,,,,,,
B073P1LM8D,D/B073P1LM8D.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/D/B073P1LM8D.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/D/B073P1LM8D.glb,true,found,,,,,,,,,,
B075YL2S9V,V/B075YL2S9V.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B075YL2S9V.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B075YL2S9V.glb,true,found,,,,,,,,,,
B079LNFJQX,X/B079LNFJQX.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/X/B079LNFJQX.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/X/B079LNFJQX.glb,true,found,,,,,,,,,,
B079L8TCVJ,J/B079L8TCVJ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/J/B079L8TCVJ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B079L8TCVJ.glb,true,found,,,,,,,,,,
B075YNL7GJ,J/B075YNL7GJ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/J/B075YNL7GJ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B075YNL7GJ.glb,true,found,,,,,,,,,,
B075YLMBYB,B/B075YLMBYB.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/B/B075YLMBYB.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/B/B075YLMBYB.glb,true,found,,,,,,,,,,
B075YL2S8V,V/B075YL2S8V.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B075YL2S8V.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B075YL2S8V.glb,true,found,,,,,,,,,,
B073P1GFXV,V/B073P1GFXV.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/V/B073P1GFXV.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/V/B073P1GFXV.glb,true,found,,,,,,,,,,
B07W5BDJ73,3/B07W5BDJ73.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/3/B07W5BDJ73.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/3/B07W5BDJ73.glb,true,found,,,,,,,,,,
B075YLJMHK,K/B075YLJMHK.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/K/B075YLJMHK.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/K/B075YLJMHK.glb,true,found,,,,,,,,,,
B075YM2VXJ,J/B075YM2VXJ.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/J/B075YM2VXJ.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/J/B075YM2VXJ.glb,true,found,,,,,,,,,,
B073P5FLX9,9/B073P5FLX9.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/9/B073P5FLX9.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/9/B073P5FLX9.glb,true,found,,,,,,,,,,
B073P77B6B,B/B073P77B6B.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/B/B073P77B6B.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/B/B073P77B6B.glb,true,found,,,,,,,,,,
B075YLKFB6,6/B075YLKFB6.glb,https://amazon-berkeley-objects.s3.amazonaws.com/3dmodels/original/6/B075YLKFB6.glb,/vol/bitbucket/ct1022/hy3dpaint_finetune/data/raw_assets/abo/6/B075YLKFB6.glb,true,found,,,,,,,,,,
